M,theta,beta_lower,beta_upper
6.000000,66.000000,572939.425577,572939.425577
6.000000,67.000000,572939.452205,572939.452205
6.000000,68.000000,572939.478467,572939.478467
6.000000,69.000000,572939.504384,572939.504384
6.000000,70.000000,572939.529977,572939.529977
6.000000,71.000000,572939.555266,572939.555266
6.000000,72.000000,572939.580272,572939.580272
6.000000,73.000000,572939.605012,572939.605012
6.000000,74.000000,572939.629505,572939.629505
6.000000,75.000000,572939.653768,572939.653768
6.000000,76.000000,572939.677819,572939.677819
6.000000,77.000000,572939.701673,572939.701673
6.000000,78.000000,572939.725347,572939.725347
6.000000,79.000000,572939.748855,572939.748855
6.000000,80.000000,572939.772214,572939.772214
6.000000,81.000000,572939.795437,572939.795437
6.000000,82.000000,572939.818539,572939.818539
6.000000,83.000000,572939.841535,572939.841535
6.000000,84.000000,572939.864437,572939.864437
6.000000,85.000000,572939.887260,572939.887260
6.000000,86.000000,572939.910018,572939.910018
6.000000,87.000000,572939.932723,572939.932723
6.000000,88.000000,572939.955388,572939.955388
6.000000,89.000000,572939.978028,572939.978028
7.000000,0.000000,572931.787446,572931.787446
7.000000,1.000000,572932.377437,572932.377437
7.000000,2.000000,572932.922848,572932.922848
7.000000,3.000000,572933.424816,572933.424816
7.000000,4.000000,572933.885074,572933.885074
7.000000,5.000000,572934.305831,572934.305831
7.000000,6.000000,572934.689636,572934.689636
7.000000,7.000000,572935.039240,572935.039240
7.000000,8.000000,572935.357476,572935.357476
7.000000,9.000000,572935.647155,572935.647155
7.000000,10.000000,572935.910984,572935.910984
7.000000,11.000000,572936.151516,572936.151516
7.000000,12.000000,572936.371120,572936.371120
7.000000,13.000000,572936.571960,572936.571960
7.000000,14.000000,572936.755997,572936.755997
7.000000,15.000000,572936.924991,572936.924991
7.000000,16.000000,572937.080516,572937.080516
7.000000,17.000000,572937.223974,572937.223974
7.000000,18.000000,572937.356606,572937.356606
7.000000,19.000000,572937.479515,572937.479515
7.000000,20.000000,572937.593676,572937.593676
